,script_id,words,words_male,words_female,f_percentage,imdb_id,title,year,gross,lines_data,averageRating,numVotes
210,1253,7503,4650,2853,0.38024790083966414,tt0272338,Punch-Drunk Love,2002,26.0,7.764357757773431e+110,7.3,144225
211,1256,5013,3179,1834,0.36584879313784163,tt0087957,Purple Rain,1984,,7.101352777777771e+86,6.6,19102
212,1257,8843,6749,2094,0.23679746692298995,tt0110912,Pulp Fiction,1994,224.0,6.777777777777771e+130,8.9,1779709
213,1258,5557,3096,2461,0.4428648551376642,tt0436697,The Queen,2006,74.0,3.3245633315642404e+78,7.3,102501
214,1264,4207,3767,440,0.10458759210839078,tt0089880,Rambo: First Blood Part II,1985,367.0,7.777777777777771e+71,6.5,151418
215,1267,7985,6688,1297,0.16242955541640577,tt0089886,Real Genius,1985,31.0,7.447777777633342e+131,7.0,29783
216,1269,14752,12584,2168,0.14696312364425163,tt0199753,Red Planet,2000,28.0,7.4357777776455315e+90,5.7,54719
217,1273,6308,5466,842,0.13348129359543437,tt0087995,Repo Man,1984,,7.75577344546777e+93,6.9,33108
218,1274,5197,4657,540,0.1039060996728882,tt0191397,The Replacements,2000,72.0,7.77777777777777e+78,6.6,57259
219,1281,4527,3359,1168,0.25800751049259996,tt0073629,The Rocky Horror Picture Show,1975,594.0,5.37364426644444e+55,7.4,128880
220,1282,7417,7116,301,0.04058244573277606,tt0117500,The Rock,1996,263.0,7.77773345757777e+99,7.4,307067
221,1283,15700,13923,1777,0.11318471337579618,tt0102798,Robin Hood: Prince of Thieves,1991,343.0,7.777777776457771e+138,6.9,174922
